File,KMeans_Cluster,Agglomerative_ward_Cluster,Agglomerative_complete_Cluster,Agglomerative_average_Cluster,Agglomerative_single_Cluster,DBSCAN_Cluster,Spectral_Cluster,GMM_Cluster,BGMM_Cluster,KMeans_Advanced_Cluster
file_14894.txt,0,1,0,0,0,-1,0,1,1,1
file_17860.txt,0,1,0,0,0,-1,0,1,1,1
file_18883.txt,0,1,0,0,0,-1,0,1,1,1
file_22059.txt,0,1,0,0,0,-1,0,1,1,1
file_2993.txt,0,1,0,0,0,-1,0,1,1,1
file_31274.txt,0,1,0,0,0,-1,0,1,1,1
file_33091.txt,0,1,0,0,0,-1,0,1,1,1
file_3388.txt,0,1,0,0,0,-1,0,0,1,1
file_35884.txt,0,1,0,0,0,-1,0,1,1,1
file_37125.txt,0,1,0,0,0,-1,0,1,1,1
file_3742.txt,0,1,0,0,0,-1,0,1,1,1
file_3835.txt,0,1,0,0,0,-1,0,1,1,1
file_39936.txt,0,1,0,0,0,-1,0,1,1,1
file_40489.txt,0,1,0,0,0,-1,0,1,1,1
file_40558.txt,0,1,0,0,0,-1,0,1,1,1
file_41551.txt,0,1,0,0,0,-1,0,0,0,1
file_49595.txt,0,1,0,0,0,-1,0,1,1,1
file_50617.txt,0,1,0,0,0,-1,0,1,1,1
file_51993.txt,0,1,0,0,0,-1,0,1,1,1
file_5325.txt,0,1,0,0,0,-1,0,1,1,1
file_53588.txt,0,1,0,0,0,-1,0,1,1,1
file_54889.txt,0,1,0,0,0,-1,0,0,0,1
file_55946.txt,0,1,0,0,0,-1,0,1,1,1
file_57262.txt,0,1,0,0,0,-1,0,1,1,1
file_58911.txt,0,1,0,0,0,-1,0,1,1,1
file_59753.txt,0,1,0,0,0,-1,0,1,1,1
file_62960.txt,0,1,0,0,0,-1,0,1,1,1
file_63561.txt,0,1,0,0,0,-1,0,1,1,1
file_63816.txt,0,1,0,0,0,-1,0,1,1,1
file_66498.txt,0,1,0,0,0,-1,0,1,1,1
file_68111.txt,0,1,0,0,0,-1,0,1,1,1
file_70685.txt,0,1,0,0,0,-1,0,1,1,1
file_72972.txt,0,1,0,0,0,-1,0,1,1,1
file_7336.txt,0,1,0,0,0,-1,0,1,1,1
file_75800.txt,0,1,0,0,0,-1,0,1,1,1
file_77484.txt,0,1,0,0,0,-1,0,1,1,1
file_82278.txt,0,1,0,0,0,-1,0,1,1,1
file_86885.txt,0,1,0,0,0,-1,0,1,1,1
file_87385.txt,0,1,0,0,0,-1,0,1,1,1
file_87603.txt,0,1,0,0,0,-1,0,1,1,1
file_88407.txt,0,1,0,0,0,-1,0,1,1,1
file_90200.txt,0,1,0,0,0,-1,0,1,1,1
file_9102.txt,0,1,0,0,0,-1,0,1,1,1
file_92216.txt,0,1,0,0,0,-1,0,1,1,1
file_92329.txt,0,1,0,0,0,-1,0,1,1,1
file_92454.txt,0,1,0,0,0,-1,0,1,1,1
file_92834.txt,0,1,0,0,0,-1,0,1,1,1
file_97857.txt,0,1,0,0,0,-1,0,1,1,1
file_9803.txt,0,1,0,0,0,-1,0,1,1,1
file_15229.txt,1,0,0,0,0,-1,1,1,1,0
file_15576.txt,1,0,0,0,0,-1,1,1,1,0
file_16361.txt,1,0,0,0,0,-1,1,1,1,0
file_20658.txt,1,0,0,0,0,-1,1,1,1,0
file_20726.txt,1,0,0,0,0,-1,1,1,1,0
file_20785.txt,1,0,0,0,0,-1,1,1,1,0
file_22620.txt,1,1,0,0,0,-1,1,0,0,0
file_22636.txt,1,0,1,1,1,-1,1,0,0,0
file_2345.txt,1,0,0,0,0,-1,1,1,1,0
file_25611.txt,1,0,0,0,0,-1,1,1,1,0
file_26408.txt,1,0,0,0,0,-1,1,1,1,0
file_27517.txt,1,0,0,0,0,-1,1,1,1,0
file_28440.txt,1,0,0,0,0,-1,1,1,1,0
file_29351.txt,1,0,0,0,0,-1,1,1,1,0
file_34890.txt,1,0,0,0,0,-1,1,1,1,0
file_3834.txt,1,0,0,0,0,-1,1,1,1,0
file_38361.txt,1,0,0,0,0,-1,1,1,1,0
file_39455.txt,1,0,0,0,0,-1,1,1,1,0
file_42685.txt,1,0,0,0,0,-1,1,1,1,0
file_43864.txt,1,0,0,0,0,-1,1,0,0,0
file_46647.txt,1,0,0,0,0,-1,1,1,1,0
file_50501.txt,1,0,0,0,0,-1,1,1,1,0
file_51551.txt,1,0,0,0,0,-1,1,1,1,0
file_54059.txt,1,0,0,0,0,-1,1,1,1,0
file_54097.txt,1,0,0,0,0,-1,1,1,1,0
file_55007.txt,1,0,0,0,0,-1,1,1,1,0
file_55801.txt,1,0,0,0,0,-1,1,1,1,0
file_56035.txt,1,0,0,0,0,-1,1,1,1,0
file_56250.txt,1,0,0,0,0,-1,1,1,1,0
file_57858.txt,1,0,0,0,0,-1,1,1,1,0
file_58631.txt,1,0,0,0,0,-1,1,0,1,0
file_61276.txt,1,0,0,0,0,-1,1,1,1,0
file_62851.txt,1,0,0,0,0,-1,1,1,1,0
file_62881.txt,1,0,0,0,0,-1,1,1,1,0
file_65538.txt,1,0,0,0,0,-1,1,1,1,0
file_67537.txt,1,0,0,0,0,-1,1,1,1,0
file_69268.txt,1,0,0,0,0,-1,1,0,1,0
file_71331.txt,1,0,0,0,0,-1,1,1,1,0
file_73559.txt,1,0,0,0,0,-1,1,1,1,0
file_74771.txt,1,0,0,0,0,-1,1,1,1,0
file_77600.txt,1,0,0,0,0,-1,1,1,1,0
file_79990.txt,1,0,0,0,0,-1,1,1,1,0
file_81731.txt,1,0,0,0,0,-1,1,1,1,0
file_83091.txt,1,0,0,0,0,-1,1,1,1,0
file_96463.txt,1,0,0,0,0,-1,1,0,0,0
file_96991.txt,1,0,0,0,0,-1,1,1,1,0
file_971.txt,1,0,0,0,0,-1,1,0,0,0
file_9985.txt,1,0,0,0,0,-1,1,1,1,0
